disp_id,client_id,account_id,type,birth_number,client_district_id,account_district_id,frequency,date
60,60,51,OWNER,800219,67,67,monthly issuance,960511
61,61,52,OWNER,485806,16,16,monthly issuance,970129
62,62,53,OWNER,321208,77,77,monthly issuance,950607
63,63,54,OWNER,590604,4,4,monthly issuance,950502
64,64,55,OWNER,260422,20,20,monthly issuance,960219
65,65,56,OWNER,435527,50,50,monthly issuance,940516
66,66,57,OWNER,516110,1,1,monthly issuance,950521
67,67,58,OWNER,326111,29,29,monthly issuance,960823
68,68,59,OWNER,461214,43,43,monthly issuance,940327
70,70,61,OWNER,251222,70,70,monthly issuance,931211
71,71,61,DISPONENT,275206,70,70,monthly issuance,931211
72,72,62,OWNER,230113,47,47,monthly issuance,930328
73,73,63,OWNER,240220,22,22,monthly issuance,961116
74,74,63,DISPONENT,255726,22,22,monthly issuance,961116
75,75,64,OWNER,775919,64,64,monthly issuance,970311
76,76,65,OWNER,676001,36,36,monthly issuance,961029
77,77,66,OWNER,565218,1,48,issuance after transaction,931203
78,78,67,OWNER,445613,16,16,monthly issuance,941019
79,79,68,OWNER,695310,37,37,issuance after transaction,941220
80,80,69,OWNER,795225,64,64,monthly issuance,960112
81,81,70,OWNER,760429,8,8,monthly issuance,950218
82,82,70,DISPONENT,796225,8,8,monthly issuance,950218
83,83,71,OWNER,786225,1,1,monthly issuance,940305
84,84,71,DISPONENT,790505,1,1,monthly issuance,940305
85,85,72,OWNER,610827,1,1,weekly issuance,960620
86,86,72,DISPONENT,695720,1,1,weekly issuance,960620
87,87,73,OWNER,466117,72,72,monthly issuance,931108
89,89,75,OWNER,515505,1,1,monthly issuance,950813
90,90,76,OWNER,750817,52,52,monthly issuance,960516
91,91,77,OWNER,400807,63,63,monthly issuance,961119
92,92,78,OWNER,665612,74,74,monthly issuance,930707
93,93,79,OWNER,250216,3,3,monthly issuance,961129
94,94,80,OWNER,470909,43,43,monthly issuance,950927
95,95,80,DISPONENT,525803,43,43,monthly issuance,950927
96,96,81,OWNER,720229,74,74,monthly issuance,960718
97,97,82,OWNER,651128,26,26,monthly issuance,940503
98,98,83,OWNER,735504,33,26,monthly issuance,930416
99,99,83,DISPONENT,730126,33,26,monthly issuance,930416
100,100,84,OWNER,425811,44,44,issuance after transaction,951225
101,101,85,OWNER,430123,68,68,monthly issuance,970323
102,102,86,OWNER,585910,74,54,monthly issuance,930307
103,103,86,DISPONENT,550711,74,54,monthly issuance,930307
105,105,88,OWNER,800526,31,31,monthly issuance,960703
106,106,89,OWNER,686230,68,68,monthly issuance,970925
107,107,90,OWNER,720623,1,1,monthly issuance,940713
108,108,91,OWNER,630913,17,17,monthly issuance,961106
110,110,93,OWNER,675413,2,2,monthly issuance,960612
112,112,95,OWNER,350125,1,1,monthly issuance,950330
113,113,95,DISPONENT,405815,1,1,monthly issuance,950330
114,114,96,OWNER,695624,74,68,monthly issuance,930218
115,115,96,DISPONENT,691224,74,68,monthly issuance,930218
116,116,97,OWNER,420128,74,74,monthly issuance,960505
117,117,97,DISPONENT,365920,74,74,monthly issuance,960505
118,118,98,OWNER,220719,55,55,monthly issuance,970502
119,119,98,DISPONENT,225228,55,55,monthly issuance,970502
120,120,99,OWNER,760510,1,1,monthly issuance,950627
121,121,100,OWNER,786029,41,41,monthly issuance,931228
122,122,101,OWNER,636113,35,35,monthly issuance,960416
123,123,102,OWNER,690212,11,11,monthly issuance,931016
124,124,103,OWNER,670921,44,44,monthly issuance,960310
125,125,104,OWNER,361031,37,37,monthly issuance,930415
126,126,104,DISPONENT,295927,37,37,monthly issuance,930415
127,127,105,OWNER,506227,21,21,monthly issuance,970710
128,128,106,OWNER,735404,63,63,monthly issuance,941127
129,129,107,OWNER,475531,64,64,monthly issuance,931105
130,130,108,OWNER,420214,53,53,monthly issuance,950310
131,131,109,OWNER,775131,53,53,monthly issuance,970420
132,132,110,OWNER,530126,36,36,monthly issuance,960717
134,134,112,OWNER,320118,6,6,monthly issuance,930312
135,135,112,DISPONENT,385910,6,6,monthly issuance,930312
136,136,113,OWNER,215126,55,55,monthly issuance,960722
137,137,114,OWNER,230914,60,60,monthly issuance,970314
138,138,115,OWNER,726021,54,68,monthly issuance,930319
139,139,116,OWNER,595725,8,8,monthly issuance,960321
140,140,116,DISPONENT,610606,8,8,monthly issuance,960321
141,141,117,OWNER,251102,31,31,monthly issuance,930905
142,142,118,OWNER,370621,68,68,monthly issuance,970918
143,143,119,OWNER,780709,27,27,monthly issuance,930525
144,144,120,OWNER,581206,65,65,weekly issuance,950616
145,145,121,OWNER,780214,55,55,monthly issuance,971011
146,146,122,OWNER,616219,31,31,monthly issuance,961030
147,147,123,OWNER,336102,21,21,monthly issuance,930313
148,148,123,DISPONENT,401225,21,21,monthly issuance,930313
149,149,124,OWNER,480627,55,55,monthly issuance,971228
150,150,125,OWNER,805927,2,2,issuance after transaction,960907
151,151,126,OWNER,715923,51,5,monthly issuance,931023
152,152,127,OWNER,456202,29,29,monthly issuance,940202
153,153,128,OWNER,815212,13,2,monthly issuance,930219
154,154,129,OWNER,330827,74,74,monthly issuance,971001
155,155,129,DISPONENT,395313,74,74,monthly issuance,971001
156,156,130,OWNER,305722,54,54,monthly issuance,970212
157,157,131,OWNER,435709,52,52,monthly issuance,950613
158,158,132,OWNER,455703,40,40,issuance after transaction,960511
159,159,132,DISPONENT,380910,40,40,issuance after transaction,960511
160,160,133,OWNER,425426,64,64,weekly issuance,971011
161,161,134,OWNER,436007,34,34,monthly issuance,971210
162,162,135,OWNER,411017,65,75,monthly issuance,930615
163,163,136,OWNER,330612,74,74,monthly issuance,960514
164,164,137,OWNER,625404,70,70,monthly issuance,960719
165,165,138,OWNER,681108,22,22,monthly issuance,950919
166,166,138,DISPONENT,616022,22,22,monthly issuance,950919
167,167,139,OWNER,785418,38,38,weekly issuance,970515
168,168,140,OWNER,766105,24,24,monthly issuance,960625
169,169,141,OWNER,530912,38,38,monthly issuance,960306
170,170,141,DISPONENT,465616,38,38,monthly issuance,960306
171,171,142,OWNER,290625,51,51,monthly issuance,930215
172,172,142,DISPONENT,356005,51,51,monthly issuance,930215
173,173,143,OWNER,186208,21,21,monthly issuance,961127
174,174,144,OWNER,781110,10,10,weekly issuance,970403
175,175,145,OWNER,600713,31,31,monthly issuance,960103
176,176,146,OWNER,290311,4,4,monthly issuance,930902
178,178,148,OWNER,601222,8,8,monthly issuance,930621
179,179,149,OWNER,801229,43,43,monthly issuance,971116
180,180,150,OWNER,820119,73,73,monthly issuance,950316
181,181,151,OWNER,670706,76,76,monthly issuance,930906
182,182,151,DISPONENT,595713,76,76,monthly issuance,930906
183,183,152,OWNER,785319,1,1,monthly issuance,960412
184,184,152,DISPONENT,720605,1,1,monthly issuance,960412
185,185,153,OWNER,540530,77,77,monthly issuance,930919
186,186,154,OWNER,615222,46,46,monthly issuance,940621
187,187,155,OWNER,420823,58,58,monthly issuance,951107
188,188,156,OWNER,600902,64,64,monthly issuance,971022
189,189,157,OWNER,190810,11,11,monthly issuance,970328
190,190,158,OWNER,476031,37,37,monthly issuance,950315
191,191,158,DISPONENT,540903,37,37,monthly issuance,950315
192,192,159,OWNER,710228,70,70,monthly issuance,970211
193,193,160,OWNER,620501,1,23,monthly issuance,930904
194,194,161,OWNER,246220,28,28,monthly issuance,940704
195,195,162,OWNER,191118,74,60,monthly issuance,930825
196,196,162,DISPONENT,275625,74,60,monthly issuance,930825
197,197,163,OWNER,330425,30,30,monthly issuance,930127
198,198,164,OWNER,760714,60,60,monthly issuance,960913
199,199,165,OWNER,230621,29,25,monthly issuance,930601
200,200,165,DISPONENT,285113,29,25,monthly issuance,930601
201,201,166,OWNER,305819,17,17,monthly issuance,960820
202,202,167,OWNER,766121,29,29,weekly issuance,960226
203,203,168,OWNER,620610,31,31,monthly issuance,930427
204,204,168,DISPONENT,675617,31,31,monthly issuance,930427
205,205,169,OWNER,425615,4,4,monthly issuance,950928
206,206,170,OWNER,635413,59,59,monthly issuance,960702
207,207,171,OWNER,320520,46,46,monthly issuance,960608
208,208,172,OWNER,405625,13,13,monthly issuance,930830
209,209,172,DISPONENT,350820,13,13,monthly issuance,930830
210,210,173,OWNER,391130,66,66,monthly issuance,931126
211,211,173,DISPONENT,455628,66,66,monthly issuance,931126
212,212,174,OWNER,750210,52,52,monthly issuance,960904
215,215,176,OWNER,670924,71,71,weekly issuance,960812
216,216,177,OWNER,600130,1,1,monthly issuance,970926
217,217,178,OWNER,746222,59,59,monthly issuance,970906
218,218,179,OWNER,805123,1,1,weekly issuance,970922
219,219,180,OWNER,645402,60,55,weekly issuance,931214
221,221,181,OWNER,775225,21,21,monthly issuance,960611
222,222,182,OWNER,725629,47,47,monthly issuance,960824
223,223,183,OWNER,525227,43,43,monthly issuance,931212
224,224,184,OWNER,550511,77,77,monthly issuance,960221
225,225,185,OWNER,360510,32,32,monthly issuance,970704
226,226,186,OWNER,420616,1,1,weekly issuance,930729
227,227,187,OWNER,266218,52,5,monthly issuance,930328
228,228,188,OWNER,565316,48,54,monthly issuance,930420
229,229,189,OWNER,690722,76,76,monthly issuance,970416
230,230,190,OWNER,675310,74,74,monthly issuance,950302
231,231,191,OWNER,410218,41,41,monthly issuance,970317
232,232,192,OWNER,215617,55,55,monthly issuance,930108
233,233,193,OWNER,586203,69,69,monthly issuance,961222
234,234,193,DISPONENT,550621,69,69,monthly issuance,961222
235,235,194,OWNER,435828,44,44,monthly issuance,960801
236,236,195,OWNER,610901,70,70,monthly issuance,970227
237,237,195,DISPONENT,695222,70,70,monthly issuance,970227
238,238,196,OWNER,616128,6,4,monthly issuance,931114
239,239,197,OWNER,745910,1,1,monthly issuance,930225
240,240,198,OWNER,295617,34,70,monthly issuance,931025
241,241,199,OWNER,590123,70,70,monthly issuance,961026
242,242,200,OWNER,615801,17,17,monthly issuance,940703
243,243,201,OWNER,540210,63,63,monthly issuance,941102
246,246,204,OWNER,706228,67,67,monthly issuance,960113
247,247,205,OWNER,570508,1,1,monthly issuance,971008
248,248,206,OWNER,696212,61,61,monthly issuance,950408
249,249,206,DISPONENT,700505,61,61,monthly issuance,950408
250,250,207,OWNER,796125,8,2,monthly issuance,930725
251,251,208,OWNER,765303,54,54,monthly issuance,960327
252,252,209,OWNER,695901,37,37,monthly issuance,961124
253,253,210,OWNER,475512,48,48,monthly issuance,960317
254,254,211,OWNER,630530,28,28,monthly issuance,970719
255,255,212,OWNER,516011,27,27,weekly issuance,930120
256,256,213,OWNER,635227,73,73,monthly issuance,950829
257,257,214,OWNER,426104,22,22,monthly issuance,970309
258,258,214,DISPONENT,370531,22,22,monthly issuance,970309
259,259,215,OWNER,660608,31,31,monthly issuance,971125
260,260,215,DISPONENT,625224,31,31,monthly issuance,971125
261,261,216,OWNER,376207,38,38,monthly issuance,940516
262,262,217,OWNER,451125,77,77,monthly issuance,950120
263,263,218,OWNER,620520,68,68,monthly issuance,960206
264,264,219,OWNER,780822,28,28,monthly issuance,950906
265,265,220,OWNER,335107,72,72,monthly issuance,930409
266,266,221,OWNER,675828,19,19,monthly issuance,961030
267,267,222,OWNER,670612,37,37,monthly issuance,930315
268,268,223,OWNER,825502,39,39,monthly issuance,950613
269,269,224,OWNER,236203,15,15,monthly issuance,961027
270,270,225,OWNER,470308,46,1,monthly issuance,930728
271,271,225,DISPONENT,455727,46,1,monthly issuance,930728
272,272,226,OWNER,446025,70,70,monthly issuance,970223
273,273,227,OWNER,725515,27,27,monthly issuance,950328
274,274,228,OWNER,706125,17,5,monthly issuance,930928
275,275,229,OWNER,186112,1,1,monthly issuance,970607
276,276,230,OWNER,570611,1,1,monthly issuance,960226
277,277,230,DISPONENT,616128,1,1,monthly issuance,960226
278,278,231,OWNER,726227,22,22,monthly issuance,950403
279,279,231,DISPONENT,700516,22,22,monthly issuance,950403
280,280,232,OWNER,696218,45,45,monthly issuance,971129
282,282,234,OWNER,385224,73,73,monthly issuance,930715
283,283,234,DISPONENT,331104,73,73,monthly issuance,930715
284,284,235,OWNER,740806,10,41,monthly issuance,931006
285,285,236,OWNER,540603,72,72,monthly issuance,960316
286,286,236,DISPONENT,525418,72,72,monthly issuance,960316
287,287,237,OWNER,800909,50,50,monthly issuance,940325
288,288,238,OWNER,620421,6,6,monthly issuance,930815
289,289,239,OWNER,580327,54,69,weekly issuance,930301
290,290,240,OWNER,590112,72,72,monthly issuance,970428
291,291,240,DISPONENT,555427,72,72,monthly issuance,970428
292,292,241,OWNER,585906,15,15,monthly issuance,960929
293,293,242,OWNER,430927,69,69,monthly issuance,960829
294,294,243,OWNER,680321,58,55,weekly issuance,931106
295,295,244,OWNER,390327,12,24,monthly issuance,930208
296,296,245,OWNER,740301,65,65,monthly issuance,931125
297,297,246,OWNER,245315,65,65,monthly issuance,971220
298,298,246,DISPONENT,210613,65,65,monthly issuance,971220
300,300,248,OWNER,575730,1,1,monthly issuance,950402
301,301,249,OWNER,420110,28,28,monthly issuance,961203
302,302,250,OWNER,710223,56,56,monthly issuance,970510
303,303,251,OWNER,460506,74,74,monthly issuance,960406
304,304,252,OWNER,345311,19,19,monthly issuance,961226
305,305,253,OWNER,380608,46,46,monthly issuance,951205
308,308,255,OWNER,765612,68,68,monthly issuance,961103
309,309,256,OWNER,696214,37,37,monthly issuance,950514
310,310,257,OWNER,500416,11,11,monthly issuance,951105
311,311,258,OWNER,305916,64,64,monthly issuance,970709
312,312,259,OWNER,240703,2,2,monthly issuance,931028
313,313,260,OWNER,425511,24,24,monthly issuance,951014
314,314,260,DISPONENT,450322,24,24,monthly issuance,951014
315,315,261,OWNER,670501,54,54,monthly issuance,961007
316,316,262,OWNER,550428,75,75,monthly issuance,960127
317,317,263,OWNER,576006,64,64,weekly issuance,970103
318,318,264,OWNER,435402,15,15,monthly issuance,960209
319,319,265,OWNER,295404,19,19,monthly issuance,960705
320,320,265,DISPONENT,341112,19,19,monthly issuance,960705
321,321,266,OWNER,436024,47,47,monthly issuance,940511
322,322,267,OWNER,330201,38,38,monthly issuance,950426
323,323,267,DISPONENT,385404,38,38,monthly issuance,950426
324,324,268,OWNER,601203,3,3,monthly issuance,960529
325,325,269,OWNER,600221,3,3,monthly issuance,960830
326,326,270,OWNER,675918,27,27,monthly issuance,950123
327,327,270,DISPONENT,681013,27,27,monthly issuance,950123
328,328,271,OWNER,185124,1,1,monthly issuance,960813
329,329,272,OWNER,641203,11,11,monthly issuance,961023
330,330,273,OWNER,445805,65,24,issuance after transaction,930711
331,331,274,OWNER,420302,1,76,monthly issuance,930820
332,332,275,OWNER,780725,29,29,monthly issuance,960102
333,333,276,OWNER,711019,38,38,monthly issuance,971208
334,334,277,OWNER,691031,32,32,issuance after transaction,940501
335,335,278,OWNER,675722,73,73,monthly issuance,960408
336,336,279,OWNER,645211,39,39,monthly issuance,930414
337,337,279,DISPONENT,570508,39,39,monthly issuance,930414
338,338,280,OWNER,515619,8,25,monthly issuance,930123
339,339,281,OWNER,660730,1,1,monthly issuance,961027
340,340,281,DISPONENT,705819,1,1,monthly issuance,961027
341,341,282,OWNER,770316,69,69,monthly issuance,970512
342,342,282,DISPONENT,725630,69,69,monthly issuance,970512
343,343,283,OWNER,191119,44,44,monthly issuance,960418
344,344,284,OWNER,635716,54,54,monthly issuance,970718
345,345,285,OWNER,531207,17,17,monthly issuance,950508
346,346,285,DISPONENT,606102,17,17,monthly issuance,950508
347,347,286,OWNER,591213,71,71,monthly issuance,960327
348,348,286,DISPONENT,535124,71,71,monthly issuance,960327
349,349,287,OWNER,275527,39,16,monthly issuance,931027
350,350,288,OWNER,255402,25,25,monthly issuance,950318
351,351,289,OWNER,730501,1,1,monthly issuance,940317
352,352,290,OWNER,400827,56,56,monthly issuance,931202
353,353,291,OWNER,651026,7,7,monthly issuance,970608
354,354,292,OWNER,225427,49,49,monthly issuance,970226
355,355,292,DISPONENT,300531,49,49,monthly issuance,970226
356,356,293,OWNER,796207,1,1,monthly issuance,970504
357,357,293,DISPONENT,790330,1,1,monthly issuance,970504
358,358,294,OWNER,595626,7,7,monthly issuance,970105
359,359,295,OWNER,700216,66,66,monthly issuance,971123
360,360,296,OWNER,430427,49,49,monthly issuance,960214
361,361,297,OWNER,775525,74,74,monthly issuance,960908
362,362,298,OWNER,505427,35,35,monthly issuance,971202
363,363,298,DISPONENT,420701,35,35,monthly issuance,971202
364,364,299,OWNER,426205,54,77,monthly issuance,930405
365,365,300,OWNER,300109,1,1,monthly issuance,930623
366,366,300,DISPONENT,366110,1,1,monthly issuance,930623
367,367,301,OWNER,635903,60,60,monthly issuance,950910
368,368,301,DISPONENT,681014,60,60,monthly issuance,950910
369,369,302,OWNER,306106,7,7,monthly issuance,960509
370,370,303,OWNER,565105,71,71,monthly issuance,960725
371,371,304,OWNER,420716,4,4,monthly issuance,970320
372,372,305,OWNER,320403,34,34,monthly issuance,961018
373,373,306,OWNER,360228,16,16,monthly issuance,930608
374,374,307,OWNER,670614,26,26,monthly issuance,970807
375,375,308,OWNER,695929,61,61,monthly issuance,951016
376,376,309,OWNER,735108,14,14,monthly issuance,970425
378,378,311,OWNER,780515,50,50,monthly issuance,970808
379,379,311,DISPONENT,836013,50,50,monthly issuance,970808
380,380,312,OWNER,730119,41,41,monthly issuance,960103
381,381,313,OWNER,775126,73,73,monthly issuance,960706
382,382,313,DISPONENT,780630,73,73,monthly issuance,960706
383,383,314,OWNER,395517,15,15,issuance after transaction,960126
384,384,314,DISPONENT,351008,15,15,issuance after transaction,960126
385,385,315,OWNER,480324,45,45,monthly issuance,971208
386,386,316,OWNER,800821,62,62,monthly issuance,970508
387,387,317,OWNER,270606,76,76,monthly issuance,930310
388,388,318,OWNER,506030,36,36,monthly issuance,940916
389,389,319,OWNER,745630,47,47,weekly issuance,951017
390,390,320,OWNER,775127,47,47,monthly issuance,970123
391,391,321,OWNER,335522,47,47,monthly issuance,931111
392,392,322,OWNER,505401,74,1,monthly issuance,930220
393,393,322,DISPONENT,560831,74,1,monthly issuance,930220
394,394,323,OWNER,245518,52,52,monthly issuance,970223
395,395,323,DISPONENT,190705,52,52,monthly issuance,970223
396,396,324,OWNER,200502,1,1,monthly issuance,960823
397,397,325,OWNER,300327,75,75,monthly issuance,961006
398,398,326,OWNER,255326,61,61,monthly issuance,970806
399,399,327,OWNER,520414,45,54,monthly issuance,930602
400,400,328,OWNER,331227,1,1,monthly issuance,970918
401,401,328,DISPONENT,286119,1,1,monthly issuance,970918
402,402,329,OWNER,431225,3,3,monthly issuance,961019
403,403,330,OWNER,735526,42,42,monthly issuance,961124
404,404,330,DISPONENT,670420,42,42,monthly issuance,961124
405,405,331,OWNER,346019,65,65,monthly issuance,951002
406,406,332,OWNER,770515,36,36,monthly issuance,960112
407,407,333,OWNER,755527,73,73,monthly issuance,961223
408,408,334,OWNER,785222,35,1,monthly issuance,930524
409,409,335,OWNER,250618,74,74,monthly issuance,960120
410,410,336,OWNER,621220,62,62,monthly issuance,951016
411,411,337,OWNER,415414,17,17,monthly issuance,951125
412,412,337,DISPONENT,440417,17,17,monthly issuance,951125
413,413,338,OWNER,726118,49,49,monthly issuance,951118
414,414,339,OWNER,476019,46,46,weekly issuance,960911
415,415,339,DISPONENT,450401,46,46,weekly issuance,960911
416,416,340,OWNER,326007,1,1,monthly issuance,931103
417,417,340,DISPONENT,300610,1,1,monthly issuance,931103
418,418,341,OWNER,661013,28,28,monthly issuance,961119
419,419,342,OWNER,706007,64,64,monthly issuance,961013
420,420,343,OWNER,780313,18,18,monthly issuance,940426
421,421,344,OWNER,650731,54,54,monthly issuance,931201
422,422,345,OWNER,461207,69,5,monthly issuance,931120
423,423,346,OWNER,570623,37,37,monthly issuance,930111
424,424,347,OWNER,471008,1,65,monthly issuance,931213
425,425,348,OWNER,480212,25,25,monthly issuance,951115
426,426,349,OWNER,370601,72,72,monthly issuance,970608
427,427,349,DISPONENT,415914,72,72,monthly issuance,970608
428,428,350,OWNER,196116,47,47,monthly issuance,961013
429,429,351,OWNER,815120,50,50,monthly issuance,970217
430,430,352,OWNER,200728,39,39,monthly issuance,940704
431,431,353,OWNER,276001,24,24,monthly issuance,950830
432,432,354,OWNER,525326,59,59,monthly issuance,931028
433,433,355,OWNER,550207,62,62,weekly issuance,960201
434,434,356,OWNER,435130,70,70,monthly issuance,960312
435,435,357,OWNER,671023,20,20,monthly issuance,960310
436,436,358,OWNER,550615,2,12,monthly issuance,931209
437,437,359,OWNER,205117,11,11,monthly issuance,941211
438,438,360,OWNER,380928,32,32,monthly issuance,960514
439,439,361,OWNER,685912,51,51,monthly issuance,930227
440,440,362,OWNER,705707,15,15,monthly issuance,930404
441,441,363,OWNER,590914,1,1,monthly issuance,940506
442,442,364,OWNER,716216,1,1,monthly issuance,970120
443,443,364,DISPONENT,711220,1,1,monthly issuance,970120
444,444,365,OWNER,605801,74,74,monthly issuance,931212
445,445,366,OWNER,475427,1,1,monthly issuance,961023
446,446,366,DISPONENT,520319,1,1,monthly issuance,961023
447,447,367,OWNER,460904,23,23,monthly issuance,970509
448,448,368,OWNER,705815,77,77,monthly issuance,930706
450,450,370,OWNER,531127,25,25,monthly issuance,940218
451,451,371,OWNER,790414,12,12,monthly issuance,960802
452,452,372,OWNER,536022,55,55,monthly issuance,950910
453,453,373,OWNER,690716,67,67,monthly issuance,960620
454,454,374,OWNER,495615,38,38,monthly issuance,930109
455,455,375,OWNER,200726,68,68,monthly issuance,960607
456,456,376,OWNER,400228,25,25,monthly issuance,950305
457,457,377,OWNER,500926,70,70,monthly issuance,940819
458,458,378,OWNER,610724,68,68,monthly issuance,960722
459,459,379,OWNER,675723,32,32,monthly issuance,960518
461,461,381,OWNER,705813,68,68,monthly issuance,930704
462,462,382,OWNER,701221,14,14,monthly issuance,960816
463,463,383,OWNER,440405,38,38,monthly issuance,970515
464,464,384,OWNER,595730,24,24,weekly issuance,970914
465,465,385,OWNER,520901,5,5,monthly issuance,930407
466,466,386,OWNER,476119,1,1,monthly issuance,970811
467,467,386,DISPONENT,500417,1,1,monthly issuance,970811
468,468,387,OWNER,590427,72,72,monthly issuance,970919
469,469,388,OWNER,706013,59,59,monthly issuance,950211
470,470,389,OWNER,545421,30,30,monthly issuance,930828
471,471,390,OWNER,770111,44,44,monthly issuance,960216
472,472,391,OWNER,811227,36,36,monthly issuance,931211
473,473,392,OWNER,395925,1,1,monthly issuance,960714
474,474,393,OWNER,490531,46,46,monthly issuance,950204
476,476,395,OWNER,475601,1,1,monthly issuance,930312
477,477,395,DISPONENT,540720,1,1,monthly issuance,930312
478,478,396,OWNER,780621,21,21,monthly issuance,930308
479,479,397,OWNER,470820,11,11,monthly issuance,931026
480,480,397,DISPONENT,465124,11,11,monthly issuance,931026
481,481,398,OWNER,270122,69,69,monthly issuance,971024
482,482,398,DISPONENT,345122,69,69,monthly issuance,971024
483,483,399,OWNER,440619,1,1,monthly issuance,960827
484,484,400,OWNER,595913,28,28,monthly issuance,930717
485,485,401,OWNER,780516,32,32,monthly issuance,930118
486,486,402,OWNER,440412,68,68,monthly issuance,970914
487,487,403,OWNER,225401,1,1,monthly issuance,930729
488,488,403,DISPONENT,170802,1,1,monthly issuance,930729
489,489,404,OWNER,401007,41,41,monthly issuance,950428
490,490,405,OWNER,501023,55,55,monthly issuance,970313
491,491,406,OWNER,660805,63,63,monthly issuance,960903
492,492,407,OWNER,351026,72,72,weekly issuance,970418
493,493,408,OWNER,425604,41,41,monthly issuance,930721
494,494,409,OWNER,800519,1,1,monthly issuance,960611
495,495,410,OWNER,375407,49,49,monthly issuance,961015
496,496,411,OWNER,515521,70,70,monthly issuance,930205
497,497,412,OWNER,530202,74,74,monthly issuance,960121
498,498,412,DISPONENT,485115,74,74,monthly issuance,960121
499,499,413,OWNER,355708,18,18,monthly issuance,960709
500,500,414,OWNER,710106,1,1,monthly issuance,960129
501,501,415,OWNER,371028,62,25,monthly issuance,930303
502,502,416,OWNER,191208,6,6,monthly issuance,960811
503,503,417,OWNER,590724,73,73,monthly issuance,960127
504,504,418,OWNER,790801,36,36,monthly issuance,950827
505,505,419,OWNER,771221,13,13,monthly issuance,931025
506,506,420,OWNER,460816,75,75,monthly issuance,950826
507,507,421,OWNER,541116,75,75,monthly issuance,971127
508,508,422,OWNER,710428,53,53,weekly issuance,940829
509,509,423,OWNER,800502,73,12,monthly issuance,930328
510,510,424,OWNER,760415,12,12,monthly issuance,970217
511,511,425,OWNER,590218,9,9,monthly issuance,930319
512,512,426,OWNER,655803,60,1,monthly issuance,931129
513,513,427,OWNER,745111,8,8,monthly issuance,940724
514,514,427,DISPONENT,681115,8,8,monthly issuance,940724
